"clip","n","workers","seconds","duration","results_csv"
"c/clip_0s_30s","1","12","1,692064","1.6920643s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","1","16","1,745515","1.7455145s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","1","32","1,814893","1.8148934s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","1","64","1,843443","1.8434432s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","1","128","1,974348","1.9743484s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","1","2,690354","2.6903545s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","2","2,300006","2.3000056s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","4","2,353102","2.3531023s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","6","2,315587","2.315587s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","8","2,411276","2.411276s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","10","2,666775","2.6667753s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","12","2,306199","2.3061989s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","16","2,417789","2.417789s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","32","2,293971","2.2939712s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
"c/clip_0s_30s","6","64","2,401484","2.4014844s","D:\Repository\go\unik\MP\bench_runs\clips_full\c\clip_0s_30s\results.csv"
